datetime,sand_temp,sand_wind,sand_vis,sand_ceil
2016-01-07 12:51:00,+0150,0077,016093,01676
2016-01-07 13:51:00,+0150,0077,016093,01433
2016-01-07 14:29:00,+0120,0046,004023,00792
2016-01-07 14:40:00,+0120,0062,004828,00792
2016-01-07 14:51:00,+0122,0082,004828,00732
2016-01-07 15:09:00,+0130,0046,016093,01402
2016-01-07 15:51:00,+0133,0072,006437,01402
2016-01-07 16:51:00,+0133,0041,011265,01128
2016-01-07 17:51:00,+0139,0031,016093,01097
2016-01-07 18:00:00,+0139,0031,016000,99999
2016-01-07 18:51:00,+0144,0026,016093,01402
2016-01-07 19:51:00,+0144,0046,016093,01341
2016-01-07 20:51:00,+0156,0057,016093,01219
2016-01-07 21:51:00,+0156,0057,016093,01341
2016-01-07 22:51:00,+0156,0057,016093,22000
2016-01-07 23:51:00,+0150,0067,016093,22000
2016-01-08 00:00:00,+0150,0067,016000,99999
2016-01-08 00:51:00,+0144,0057,016093,22000
2016-01-08 01:51:00,+0139,0062,016093,01676
2016-01-08 02:51:00,+0139,0051,016093,02134
2016-01-08 03:51:00,+0139,0051,016093,01981
2016-01-08 04:51:00,+0128,0000,016093,02438
2016-01-08 05:51:00,+0122,0000,016093,01067
2016-01-08 06:00:00,+0122,0000,016000,99999
2016-01-08 06:51:00,+0117,0021,016093,01311
2016-01-08 07:22:00,+0120,0026,016093,00823
2016-01-08 07:51:00,+0117,0031,016093,00823
2016-01-08 07:59:00,+9999,9999,999999,99999
2016-01-08 08:22:00,+0120,0015,016093,00975
2016-01-08 08:51:00,+0111,0021,016093,01219
2016-01-08 09:51:00,+0111,0000,016093,01311
2016-01-08 10:51:00,+0117,0000,016093,02591
2016-01-08 11:51:00,+0106,0015,016093,01250
2016-01-08 12:00:00,+0106,0015,016000,99999
2016-01-08 12:51:00,+0106,0021,016093,01981
2016-01-08 13:51:00,+0106,0000,016093,22000
2016-01-08 14:51:00,+0100,0015,016093,22000
2016-01-08 15:51:00,+0111,0000,016093,22000
2016-01-08 16:51:00,+0128,0000,016093,22000
2016-01-08 17:51:00,+0139,0000,016093,22000
2016-01-08 18:00:00,+0139,0000,016000,99999
2016-01-08 18:51:00,+0144,0015,016093,22000
2016-01-08 19:51:00,+0156,0021,016093,01372
2016-01-08 20:51:00,+0161,0031,016093,22000
2016-01-08 21:51:00,+0161,0041,016093,22000
2016-01-08 22:51:00,+0161,0051,016093,01524
2016-01-08 23:51:00,+0161,0036,016093,01524
2016-01-09 00:00:00,+0161,0036,016000,99999
2016-01-09 00:51:00,+0150,0021,016093,22000
2016-01-09 01:51:00,+0144,0015,016093,22000
2016-01-09 02:51:00,+0144,0000,016093,22000
2016-01-09 03:51:00,+0139,0000,016093,01067
2016-01-09 04:51:00,+0133,0000,016093,22000
2016-01-09 05:51:00,+0122,0000,016093,22000
2016-01-09 06:00:00,+0122,0000,016000,99999
2016-01-09 06:51:00,+0122,0000,016093,22000
2016-01-09 07:51:00,+0106,0000,016093,22000
2016-01-09 07:59:00,+9999,9999,999999,99999
2016-01-09 08:51:00,+0106,0000,016093,22000
2016-01-09 09:51:00,+0100,0000,016093,22000
2016-01-09 10:51:00,+0100,0000,016093,22000
2016-01-09 11:51:00,+0100,0000,016093,22000
2016-01-09 12:00:00,+0100,0000,016000,99999
2016-01-09 12:51:00,+0100,0015,016093,22000
2016-01-09 13:51:00,+0094,0000,016093,22000
2016-01-09 14:51:00,+0089,0015,016093,22000
2016-01-09 15:51:00,+0106,0000,016093,07620
2016-01-09 16:51:00,+0117,0015,016093,22000
2016-01-09 17:51:00,+0133,0015,016093,22000
2016-01-09 18:00:00,+0133,0015,016000,99999
2016-01-09 18:51:00,+0144,0026,016093,07620
2016-01-09 19:51:00,+0150,0021,016093,07620
2016-01-09 20:51:00,+0156,0026,016093,07620
2016-01-09 21:51:00,+0156,0036,016093,03353
2016-01-09 22:51:00,+0156,0026,016093,03353
2016-01-09 23:49:00,+0160,0036,016093,00549
2016-01-09 23:51:00,+0156,0031,016093,02743
2016-01-10 00:00:00,+0156,0031,016000,99999
2016-01-10 00:51:00,+0150,0026,016093,03048
2016-01-10 01:51:00,+0150,0015,016093,02286
2016-01-10 02:51:00,+0150,0000,016093,02438
2016-01-10 03:51:00,+0150,0000,016093,01829
2016-01-10 04:51:00,+0144,0015,016093,01829
2016-01-10 05:51:00,+0139,0015,016093,02134
2016-01-10 06:00:00,+0139,0015,016000,99999
2016-01-10 06:51:00,+0144,0000,016093,01829
2016-01-10 07:51:00,+0139,0000,016093,01524
2016-01-10 07:59:00,+9999,9999,999999,99999
2016-01-10 08:51:00,+0139,0021,016093,01463
2016-01-10 09:51:00,+0139,0015,016093,01341
2016-01-10 10:51:00,+0139,0000,016093,01280
2016-01-10 11:51:00,+0133,0015,016093,00914
2016-01-10 12:00:00,+0133,0015,016000,99999
2016-01-10 12:51:00,+0133,0021,016093,01158
2016-01-10 13:07:00,+0140,0000,016093,00853
2016-01-10 13:51:00,+0133,0015,016093,00762
2016-01-10 14:45:00,+0120,0036,014484,00975
2016-01-10 14:51:00,+0122,0031,016093,00975
2016-01-10 15:51:00,+0128,0026,016093,01067
2016-01-10 16:51:00,+0133,0021,016093,00975
2016-01-10 17:51:00,+0139,0031,016093,00975
2016-01-10 18:00:00,+0139,0031,016000,99999
2016-01-10 18:51:00,+0139,0026,016093,00975
2016-01-10 19:51:00,+0150,0015,016093,00975
2016-01-10 20:43:00,+0160,0000,016093,00610
2016-01-10 20:51:00,+0156,0000,016093,00610
2016-01-10 21:51:00,+0156,0000,016093,00671
2016-01-10 22:51:00,+0161,0026,016093,00823
2016-01-10 23:51:00,+0156,0015,016093,00701
2016-01-11 00:00:00,+0156,0015,016000,99999
2016-01-11 00:51:00,+0156,0015,016093,00823
2016-01-11 01:06:00,+0150,0015,016093,02438
2016-01-11 01:51:00,+0150,0015,016093,01067
